Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
2.送出登入,500,2196,2345,3064,3118,3169,757,3741,0.000%,108.53050,56.17,22.36
總計,500,2196,2345,3064,3118,3169,757,3741,0.000%,108.53050,56.17,22.36
