Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
2.送出登入,400,1655,1744,2250,2312,2377,805,2440,0.000%,116.44833,60.27,23.99
總計,400,1655,1744,2250,2312,2377,805,2440,0.000%,116.44833,60.27,23.99
