Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
2.送出登入,600,2204,2219,3114,3178,3248,811,3472,0.000%,142.65335,73.83,29.39
總計,600,2204,2219,3114,3178,3248,811,3472,0.000%,142.65335,73.83,29.39
