Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
2.送出登入,450,2397,2533,3170,3233,3333,742,3366,0.000%,110.07828,56.97,22.68
總計,450,2397,2533,3170,3233,3333,742,3366,0.000%,110.07828,56.97,22.68
