Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
2.送出登入,500,2256,2421,3176,3243,3362,722,3426,0.000%,120.04802,62.13,24.74
總計,500,2256,2421,3176,3243,3362,722,3426,0.000%,120.04802,62.13,24.74
