Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
2.送出登入,700,2514,2399,3579,3704,3753,424,3808,14.000%,161.03060,131.41,28.54
總計,700,2514,2399,3579,3704,3753,424,3808,14.000%,161.03060,131.41,28.54
